Class Number, Class Name, Section Name, Instructor, Capacity, Enrolled, Available Seats, Wait List Capacity, Wait List Total
8668,PAS 4946 - 0001   Physician Assistant Capstone Course,0001-CLN Main Sess,Staff,15,1,14,0,0
11367,MAE 4945 - 0001   Internship In Mathematics Education,0001-OTH Main Sess,Staff,8,7,1,0,0
11014,SCE 4945 - 0001   Internship In Science Education,0001-OTH Main Sess,Staff,4,3,1,0,0
16262,HSC 4942 - 0001   Community Service Learning Practicum,0001-LEC Main Sess,Staff,15,1,14,0,0
16261,HSC 4942 - 0002   Community Service Learning Practicum,0002-LEC Main Sess,Staff,15,3,12,0,0
7778,MAE 4942 - 0001   Seminar In Mathematics Education,0001-LEC Main Sess,Staff,8,7,1,0,0
7568,MAN 4941 - 0001   Management Internship,0001-OTH Main Sess,Staff,40,28,12,0,0
7578,MAN 4941 - 0002   Management Internship,0002-OTH Conversion,Staff,35,33,2,0,0
7576,MAN 4941 - 0003   Management Internship,0003-OTH Conversion,Staff,36,0,36,0,0
7577,MAN 4941 - 0004   Management Internship,0004-OTH Conversion,Staff,30,0,30,0,0
7569,MAN 4941 - 0005   Management Internship,0005-OTH Main Sess,Staff,36,27,9,0,0
7570,MAN 4941 - 0006   Management Internship,0006-OTH Main Sess,Staff,36,0,36,0,0
7579,MAN 4941 - 0007   Management Internship,0007-OTH Weekend,Staff,30,21,9,0,0
7571,MAN 4941 - 0008   Management Internship,0008-OTH Main Sess,Staff,25,16,9,0,0
7572,MAN 4941 - 0010   Management Internship,0010-OTH Main Sess,Staff,30,18,12,0,0
7573,MAN 4941 - 0011   Management Internship,0011-OTH Main Sess,Staff,39,0,39,0,0
7809,BSC 4940 - 0001   Senior Specialty Internship,0001-OTH Main Sess,Staff,24,19,5,0,0
12111,EEX 4940 - 0003   Internship In Special Education,0003-OTH Main Sess,Staff,8,0,8,0,0
11738,MAE 4940 - 0001   Advanced Topics In Mathematics Education Practicum,0001-OTH Main Sess,Staff,12,5,7,0,0
12105,EEC 4936 - 0002   Student Teaching Seminar I: Ece,0002-LEC Conversion,Staff,30,8,22,0,0
12372,PAS 4936 - 0001   Contemporary Issues For The Pa,0001-LEC Main Sess,Staff,15,5,10,0,0
14506,EEX 4930 - 0002   Seminar In Special Education,0002-LEC Main Sess,Staff,10,8,2,0,0
14507,EEX 4930 - 0006   Seminar In Special Education,0006-LEC Main Sess,Staff,8,0,8,0,0
16290,MAN 4900 - 0001   Capstone Project In Supervision And Management,0001-LEC Main Sess,Staff,30,12,18,0,0
16300,MAN 4900 - 0002   Capstone Project In Supervision And Management,0002-LEC Conversion,Staff,30,14,16,0,0
16291,MAN 4900 - 0003   Capstone Project In Supervision And Management,0003-LEC Main Sess,Staff,35,16,19,0,0
16292,MAN 4900 - 0004   Capstone Project In Supervision And Management,0004-LEC Main Sess,Staff,30,0,30,0,0
16293,MAN 4900 - 0005   Capstone Project In Supervision And Management,0005-LEC Main Sess,Staff,36,0,36,0,0
16299,MAN 4900 - 0006   Capstone Project In Supervision And Management,0006-LEC Conversion,Staff,36,22,14,0,0
16303,MAN 4900 - 0007   Capstone Project In Supervision And Management,0007-LEC Weekend,Staff,30,0,30,0,0
16294,MAN 4900 - 0008   Capstone Project In Supervision And Management,0008-LEC Main Sess,Staff,30,28,2,0,0
16301,MAN 4900 - 0009   Capstone Project In Supervision And Management,0009-LEC 1st Mon Sp,Staff,35,12,23,0,0
16295,MAN 4900 - 0011   Capstone Project In Supervision And Management,0011-LEC Main Sess,Staff,39,0,39,0,0
16296,MAN 4900 - 0012   Capstone Project In Supervision And Management,0012-LEC Main Sess,Staff,30,21,9,0,0
16302,MAN 4900 - 0014   Capstone Project In Supervision And Management,0014-LEC 1st Mon Sp,Staff,30,0,30,0,0
6683,COP 4834 - 0001   Data Driven Web Applications (Web Administration),0001-LEC Main Sess,Staff,30,26,4,0,0
6676,EEX 4833 - 0001   Practicum In Special Education,0001-OTH Main Sess,Staff,15,7,8,0,0
6678,EEX 4833 - 0002   Practicum In Special Education,0002-OTH Main Sess,Staff,15,14,1,0,0
9064,NUR 4827 - 0002   Leadership And Management Theory,0002-LEC Main Sess,Staff,30,11,19,0,0
9066,NUR 4827 - 0004   Leadership And Management Theory,0004-LEC Conversion,Staff,40,33,7,0,0
9068,NUR 4827 - 0005   Leadership And Management Theory,0005-LEC Conversion,Staff,40,13,27,0,0
10331,FES 4823 - 0001   Integrated Emergency Management Planning Systems,0001-LEC Twelve Wk,Staff,40,0,40,0,0
6672,EEX 4764 - 0001   Instructional And Assistive Technology In Special Education,0001-LEC Conversion,Staff,20,15,5,0,0
6673,EEX 4764 - 0002   Instructional And Assistive Technology In Special Education,0002-LEC 1st Mon Sp,Staff,30,0,30,0,0
8522,COP 4723 - 0001   Database Administration,0001-LEC Main Sess,Staff,40,0,40,0,0
8525,COP 4723 - 0002   Database Administration,0002-LEC Main Sess,Staff,40,14,26,0,0
8524,COP 4723 - 0003   Database Administration,0003-LEC Main Sess,Staff,28,20,8,0,0
8523,COP 4723 - 0004   Database Administration,0004-LEC Main Sess,Staff,28,14,14,0,0
